question,token_count,length_category
"What notable artistic or outdoor activities did India Brown participate in between April 1, 2020, and April 9, 2020?
A. India Brown attended a street art fest in Brazil.
B. India Brown took a photo of a feather and shells on a beach.
C. India Brown went hiking and sketching at a nearby national park.
D. India Brown received positive feedback on her artwork",11593,8k-16k
"What creative or social activities did India Brown participate in between April 16, 2020, at 06:22 and April 19, 2020, at 07:22?
A. India Brown ran a painting workshop for kids.
B. India Brown carved a mini sculpture from a soap bar.
C. India Brown has made friends while learning languages in Europe.
D. India Brown went on a trip to a park with her family",11593,8k-16k
"What significant personal and professional endeavors was India Brown engaged in between March 18, 2020, and March 24, 2020?
A. India Brown created a painting titled ""Euphoria"".
B. India Brown is learning Italian and German.
C. India Brown visited the Louvre in Paris.
D. India Brown is teaching art at an orphanage in Cambodi",11593,8k-16k
"What significant outdoor and artistic activities did India Brown participate in between March 14, 2020 and April 1, 2020?
A. India Brown had her first art show at a local gallery.
B. India Brown got invited to exhibit at a local gallery.
C. India Brown went hiking and sketching at a nearby national park.
D. India Brown went on a trip to a park with her family",11593,8k-16k
"What artistic endeavors did India Brown pursue between April 16, 2020, at 6:22 AM and April 19, 2020, at 7:22 AM?
A. India Brown did a live demonstration for her college art club.
B. India Brown carved a mini sculpture from a soap bar.
C. India Brown is working on a new series of abstract artworks based on her trip.
D. India Brown shared an image of a mural made by kids",11593,8k-16k
"What artistic or creative endeavors did India Brown pursue between April 14, 2020, and May 8, 2020?
A. India Brown took a photograph of a crowd viewing a painting at the Louvre.
B. India Brown is testing watercolors for her new series.
C. India Brown has a collection of CDs.
D. India Brown created a painting titled ""Euphoria""",11593,8k-16k
"What significant artistic engagements did India Brown participate in between February 13, 2020, at 19:45 and March 7, 2020, at 09:27?
A. India Brown attended a street art fest in Brazil.
B. India Brown had her first art show at a local gallery.
C. India Brown did a live demonstration for her college art club.
D. India Brown went on a trip to a park with her family",11593,8k-16k
"What artistic endeavors or personal collections did India Brown focus on between April 19, 2020, and April 24, 2020?
A. India Brown received positive feedback on her artwork.
B. India Brown got invited to exhibit at a local gallery.
C. India Brown has a collection of CDs.
D. India Brown carved a mini sculpture from a soap bar",11593,8k-16k
"What diverse activities and interests did India Brown pursue between February 13, 2020, at 19:45 and March 7, 2020, at 09:27?
A. India Brown went on a trip to a park with her family.
B. India Brown attended a street art fest in Brazil.
C. India Brown is learning Spanish.
D. India Brown has a collection of CDs",11593,8k-16k
"What notable artistic or personal activities did India Brown engage in between April 14, 2020, and May 8, 2020?
A. India Brown had her first art show at a local gallery.
B. India Brown shared an image of a mural made by kids.
C. India Brown took a photo of a feather and shells on a beach.
D. India Brown went on a trip to a park with her family",11593,8k-16k
"What significant personal and travel-related activities did Michelle Mateo engage in between February 5, 2020, and February 11, 2020?
A. Michelle Mateo joined a psych book club.
B. Michelle Mateo hiked to Mount Everest Base Camp.
C. Michelle Mateo recommended Kyoto during cherry blossom season.
D. Michelle Mateo started her Masters in Psychology",5231,0k-8k
"What significant personal and exploratory endeavors did Michelle Mateo undertake between January 15, 2020, and February 5, 2020?
A. Michelle Mateo recommended Nara for its friendly deer and Todai-ji Temple.
B. Michelle Mateo started her Masters in Psychology.
C. Michelle Mateo shared an image of a garden with a blue shed and a path.
D. Michelle Mateo hiked to Mount Everest Base Camp",5231,0k-8k
"What unique experiences or activities did Michelle Mateo engage in between February 11, 2020, and March 7, 2020?
A. Michelle Mateo shared an image of a person holding a book.
B. Michelle Mateo recommended Nara for its friendly deer and Todai-ji Temple.
C. Michelle Mateo uses a vintage camera.
D. Michelle Mateo made an Italian meal for her friends",5231,0k-8k
"What notable experiences or activities did Michelle Mateo engage in between February 11, 2020, and March 7, 2020?
A. Michelle Mateo had a VR session for her psychology studies.
B. Michelle Mateo attended a ballet performance.
C. Michelle Mateo started her Masters in Psychology.
D. Michelle Mateo recommended Nara for its friendly deer and Todai-ji Templ",5231,0k-8k
"What significant psychology-related activities did Michelle Mateo participate in between March 7, 2020, and April 13, 2020?
A. Michelle Mateo started her Masters in Psychology.
B. Michelle Mateo joined a psych book club.
C. Michelle Mateo attended a psychology conference.
D. Michelle Mateo shared an image of a person holding a book",5231,0k-8k
"What diverse experiences did Michelle Mateo engage in between February 11, 2020, at 05:07 AM and February 17, 2020, at 09:13 AM?
A. Michelle Mateo joined a psych book club.
B. Michelle Mateo attended a ballet performance.
C. Michelle Mateo hiked to Mount Everest Base Camp.
D. Michelle Mateo recommended Nara for its friendly deer and Todai-ji Templ",5231,0k-8k
"What notable personal and professional activities was Michelle Mateo involved in between February 11, 2020, at 09:13 AM and March 7, 2020?
A. Michelle Mateo hiked to Mount Everest Base Camp.
B. Michelle Mateo uses a vintage camera.
C. Michelle Mateo joined a psych book club.
D. Michelle Mateo gave a presentation at the psychology conferenc",5231,0k-8k
